Prefix	Name	Origin	Owner		
BCOU		SR	Cobo Construction NV.		

BCSU		RU	Baltic Container Service Ltd.		

BCXU		ES	Barcelona Container Service Depot S.L.		

BDCU		NL	Beldock Containers BV.		

BDCU	bd	NL	BD Containers BV.		

BDSU	bulk distributors	MY	Bulk Distributors Sdn. Bhd.		

BEAU	beacon	US	Beacon Intermodal Leasing LLC.		

BECU	eurotainer	NL	Eurotainer S.A.		

BEGU		DE	BEC GmbH.		

BELU	bell-mar	IL	Bell - Mar Shipping Ltd.		

BERM	bermes	DE	Gebr. Bermes Spedition GmbH.		

BERU		US	Berg Manufacturing		

BERU	nedvan	NL	UTS van den Berg Verhuizingen BV.		

BESU	bestchem	HK	Bestchem Group Holding Co., Ltd..		

BETU		AU	Betta Storage Containers		

BEXU	blue express	JP	Blue Express Inc.		

BEZU		PL	Bezev Sp. Z.o.o.		

BFFU		BM	Bahamas Ferries Ltd.		

BFPU	intermodal solutions	AU	Intermodal Solutions Group Pty. Ltd.		

BFRU		GB	Maybury Trade LLP.		

BFSU		US	H2O Inc.		

BFWU					

BGBU	bertschi	GB	Bulktainer Rental & Finance Ltd.		

BGFU	bg freight line	NL	B.G. Freight Line BV.		

BGGU	bruno	IT	Bruno S.r.l.		

BGHU		MY	HRC Shipping Sdn. Bhd.		

BGKU		DE	Bayer Pharma AG.		

BGLU	bring	NO	Posten Norge A/S.		

BGRU		DE	Bundesanstalt für Geowissenschaften und Rohstoffe		

BGSU		GB	British Geological Survey		

BHCU	bridgehead	GB	Bridgehead Container Services Ltd.		

BHFU		CN	Befar Group Co., Ltd.		

BHLU		NL	Big Lift Shipping BV.		

BHSU		QA	Buzwair Gases		

BHTU	baohua	CN	Zhenjiang Baohua Logistics Co., Ltd.		

BHTU	baker hughes	US	Baker Hughes Inc.		

BIBU		DE	Corsyde International GmbH. & Co. KG.		

BICU		FR	Unauthorised prefix (on B.I.C. authority)		

BIDU	bertschi	CH	Bertschi AG.		

BIIU		JP	Wajimaya Senrei Co., Ltd.		

BIOU		MT	Chemplus Ltd.		

BIRU	b	AE	Bukara UAE		

BISU	bis	AU	Bis Industries Ltd.		

BISU	bisl	BM	Bermuda International Shipping Ltd.		

BISU	biendong	VN	Bien Dong Shipping Co., Ltd.		

BITU	tanktrader.net	NL	Meeberg Container Service BV.		

BJCU		KR	BoxJoin Corporation		

BJHU	baijin	CN	Shanghai Baijin Chemical Group Co., Ltd.		

BJXU		CN	Beijing Starget Chemicals Co., Ltd.		

BKBU	broekema	AE	Van den Bosch dmcc		

BKDU	tsenki	RU	Center Operations of Space Groudbase Infrastructure		

BKGU		DE	Bundesambt für Kartographie und Geodasie		

BKMU		RU	Barents Container Management Ltd.		

BKWU		NL	Royal Boskalis Westminster NV.		

BLEU		SI	Belinka perkemija d.o.o.		

BLIU	boxtrans	IN	Boxtrans Logistics (india) Services Pvt. Ltd.		

BLJU	balaji	AE	Avana Global Fzco		

BLKU	bulkhaul	GB	Bulkhaul Ltd.		

BLNU		RU	Bridge Logistics LLC.		

BLPU	baltic	PK	Baltic Shipping Pvt. Ltd.		

BLRU	belintertrans	BY	Belintertrans		

BLSU		TR	Tetra Leasing & Trading Inc.		

BLTU	balticon	PL	Balticon S.A.		

BLXU	box lines	PT	Empresa Navegacao Madeirense Lda.		

BLZU	blpl	SG	BLPL Logistics (Singapore) Pte. Ltd.		

BMCU		US	Biomass Controls LLC.		

BMLU	bernuth	US	King Ocean Services Ltd.		

BMOU	beacon	US	Beacon Intermodal Leasing LLC.		

BMPU		PG	Bismark Maritime Ltd.		

BMRU		RU	Biznes Masshtab Ltd.		

BMSU	bmc line	AE	BMC Line Shipping Services LLC.		

BMTU	bmt	ID	PT. Bumimetak Terminalindo		

BMUU	bauer	DE	Bauer Umwelt GmbH.		

BNAU		US	Burlington Northern & Santa Fé Railway Co.		

BNBU	booth	AU	Booth Transport Pty. Ltd.		

BNBU		AU	Transolve Global Pty. Ltd.		

BNBU	daabon	CO	Daabon Organic		

BNDU		RU	Eurobitumen LLC.		

BNFL		GB	Sellafield Ltd.		

BNGU		CA	Superior International Imports		

BNRU		US	Burlington Northern & Santa Fé Railway Co.		

BNSU	bns	NO	BNS Agencies Container Utleie		

BNUU		US	Burlington Northern & Santa Fé Railway Co.		

BNXU		US	Burlington Northern & Santa Fé Railway Co.		

BOBU		GB	Chemtura Corporation		

BOCU	linde	US	Linde LLC. (ex BOC Gases)		

BODU	bode	DE	Spedition Bode GmbH.& Co. KG.		

BOGU		BE	BCT International NV.		

BOHU		US	BOH Environmental LLC.		

BOIU	boxit	DK	Escot A/S.		

BOLU	grieg star shipping	NO	Grieg Star Shipping AS.		

BOLU	boluda	ES	Boluda Corporación Marítima		

BONU	bond	VG	Bond International Group Ltd.		

BOOU	wortmann tamaris	DE	Bobe Spedition GmbH.		

BORU	maritime	GB	Borchard Lines Ltd.		

BOTU	bolt	SG	Bulk Oil and Liquid Transport Pvt. Ltd.		

BOTU	bo-rent	NL	Bo-Rent Verhuur BV.		

BOXU	bulkhaul	GB	Bulkhaul Ltd.		

BPAU		AU			

BPIU	bulk pioneer	CN	Bulk Pioneer Logistics Co., Ltd.		

BPMU	bp mckeefrey	GB	BP McKeefrey Ltd.		

BPTU	braid	GB	Braid Projects Global Distribution		

BQCU		US	Bechtel Oil Gas & Chemicals Inc.		

BRBU		DE	Sasol Germany GmbH.		

BRCU	qin-in ferry	CN	Qinhuangdao Qin-in Ferry Co., Ltd.		

BRDU	bredenoord	NL	Bredenoord bv.		

BREU		IT	S.A.T.I. S.r.l..		

BREU	bredenoord	NL	Bredenoord BV.		

BRFU	bulkhaul	GB	Bulkhaul Ltd.		

BRGU	borouge	AE	Abu Dhabi Polymers Company		

BRHU		BE	Brenntag NV.		

BRKU	bulkhaul	GB	Bulkhaul Ltd.		

BRNU	brenntag	FR	Locatank S.A.		

BROU		FR	T.S.B. SARL.		

BRSK		AU			

BRTU	samat	GB	Groupe Samat UK Ltd.		

BRZU		US	Container Express Corporation		

BSAU		HK	Blue Sky Logitrade Ltd.		

BSBU	bigsteelbox	CA	Big Steel Box Ltd.		

BSBU	bridgestone	JP	Bridgestone Corporation		

BSBU	bsb				

BSGU		CN	Shanghai Baosteel Gases Co., Ltd.		

BSGU		ID	PT. BSG Gases		

BSHB	cronos	BB	Seaco S.r.l. (for Toll International)		

BSIU	blue sky	GB	Blue Sky Intermodal (UK) Ltd.		

BSKU		UA	Bodex-Ukraine Ltd.		

BSLR		HK	BSL Containers Ltd.		

BSLU		HK	BSL Containers Ltd.		

BSLU	boxit	DK	Boxit A/S.		

BSPC	budget self pack	AU	Budget Self Pack Containers		

BSPD	cronos	BB	Seaco S.r.l. (for Toll International)		

BSPU	budget self pack	AU	Budget Self Pack Containers		

BSSU		IN	Bhavani Shipping Services (I) Pvt. Ltd.		

BSTG	cronos	BM	Seaco S.r.l. (for Toll International)		

BSTU	best	NL	Best Containers V.O.F.		

BSVU		SG	BSV Shipping Agencies Pte. Ltd.		

BSXU		BE	Besix NV/SA		

BTCU					

BTEU	bruhn	DE	Bruhn Spedition GmbH.		

BTGU		GB	Brenntag UK Ltd.		

BTIU	bison	CA	Bison Transport Inc.		

BTLU	bulktainerlogistics	GB	Bulk Tainer Logistics Ltd.		

BTRN		AU			

BTRU	botrans.ru	RU	ooo. Botrans		

BTSU	system house	BE	BTS Tank Solutions NV.		

BTTU	stinnes	DE	DB Cargo BTT GmbH.		

BTTU	btt	NL	Barge Terminal Tilburg BV.		

BUCU	g.buchner	DE	Georg Buchner Internationale Spedition GmbH.		

BUDU		CA	Cameco Corporation		

BUKU	bertschi ag.	GB	Bulktainer Rental & Finance Ltd.		

BULU	bulkglobal	GB	Bulkglobal Logistics Ltd.		

BUNU	b. united	US	B. United International Inc.		

BUNU		NZ	Bundi Systems International Ltd.		

BURU		CN	BAL Container Line Co., Ltd.		

BUSU	büteführ	DE	Büteführ und Sohn GmbH. & Co. KG..		

BUTU	brointermed	PT	Beautiful Containers Trading e Servicos Lda.		

BUZU	buzzatti	IT	Buzzatti Trasporti Srl.		

BVHU		NL	Cryogenic Container Solutions BV.		

BVIU	taby	BM	Stolt Tank Containers Leasing Ltd.		

